INCIDENT_NUMBER,UCR_CATEGORY,TYPE_OF_FIREARM,FIREARM_MANUFACTURER,FIREARM_MODEL,FIREARM_CALIBER,RECOVERY_DATE,RECOVERY_BLOCK_ADDRESS,CITY,state,RECOVERY_ZIPCODE,PERSON_RECOVERED_FROM_RACE,PERSON_RECOVERED_FROM_SEX,PERSON_RECOVERED_FROM_AGE,year,ObjectId
80-17-008660,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,               ,9MM  ,1/30/2017,0 BLOCK COLONIAL OAKS CT                                    ,LOUISVILLE          ,KY,0,UNKNOWN,M,38,2017,97
80-17-006863,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,               ,9MM  ,1/23/2017,9000 BLOCK PRESTON HWY                                      ,LOUISVILLE          ,KY,40219,WHITE,M,38,2017,98
80-17-009709,WPNS LAW VIOLATION,"RIFLE, SEMI-AUTOMATIC                                  ",ITM ARMS COMPANY                                       ,               ,762M ,2/3/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,21,2017,99
80-17-013349,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,MODEL PT111    ,9MM  ,2/15/2017,S 22ND ST / W BROADWAY                                      ,LOUISVILLE          ,KY,40211,BLACK,M,26,2017,100
80-17-008497,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",JENNINGS FIREAR                                        ,JENNINGS FIREAR,9MM  ,1/30/2017,2700 BLOCK S 6TH ST                                         ,LOUISVILLE          ,KY,40208,BLACK,M,26,2017,101
80-17-003393,WPNS LAW VIOLATION,"SHOTGUN, SINGLE-SHOT                                   ",SHINKOSHA                                              ,               ,410G ,1/23/2017,DIXIE HWY / GREENWOOD RD                                    ,LOUISVILLE          ,KY,40258,WHITE,M,28,2017,102
80-17-009709,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",ROSSI - AMADEO ROSSI & CO                              ,.38 SPL REVOLVE,38C  ,2/3/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,21,2017,103
80-17-012876,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",COBRA ENTERPRISES INC                                  ,               ,380C ,2/14/2017,11600 BLOCK SEMILLON LN                                     ,LOUISVILLE          ,KY,40272,WHITE,M,34,2017,104
80-17-002802,DEATH INVESTIGATION,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40211,NULL,NULL,NULL,NA,105
80-17-005762,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40203,NULL,NULL,NULL,NA,106
80-17-008497,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",JENNINGS FIREAR                                        ,JENNINGS FIREAR,9MM  ,1/30/2017,2700 BLOCK S 6TH ST                                         ,LOUISVILLE          ,KY,40208,BLACK,M,26,2017,107
80-17-005978,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40215,NULL,NULL,NULL,NA,108
80-17-003393,WPNS LAW VIOLATION,"SHOTGUN, SINGLE-SHOT                                   ",SHINKOSHA                                              ,               ,410G ,1/23/2017,DIXIE HWY / GREENWOOD RD                                    ,LOUISVILLE          ,KY,40258,WHITE,M,28,2017,109
80-17-009971,INTIMIDATION,NULL,RUBY ARMS CO.                                          ,NONE           ,     ,2/3/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,20,2017,110
80-17-005736,NARCOTICS,"PISTOL, REVOLVER                                       ",TAURUS INTERNATIONAL                                   ,               ,357C ,1/19/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,22,2017,111
