rfr_id,INCIDENT_NUMBER,UCR_CATEGORY
293,80-11-037399,Aggravated Assault
294,80-11-037399,Aggravated Assault
295,80-11-054226,Accidental Shooting
296,80-11-070601,Narcotics
297,80-11-070601,Narcotics
298,80-11-070601,Narcotics
299,80-11-077879,Wpns Law Violation
300,80-11-021413,Aggravated Assault
301,80-11-021413,Aggravated Assault
302,80-11-021413,Aggravated Assault
303,80-11-021413,Aggravated Assault
304,80-11-021413,Aggravated Assault
305,80-11-021413,Aggravated Assault
306,80-11-021413,Aggravated Assault
307,80-11-021413,Aggravated Assault
308,80-11-049023,Wpns Law Violation
309,80-11-056278,Aggravated Assault
310,80-10-097022,Aggravated Assault
311,80-10-097022,Aggravated Assault
312,80-11-029145,Aggravated Assault
313,80-11-029145,Aggravated Assault
314,80-11-029145,Aggravated Assault
315,80-11-093438,Aggravated Assault
316,80-11-044870,Narcotics
317,80-11-015444,Narcotics
318,80-10-057715,Robbery
319,80-11-038098,Wpns Law Violation
320,80-10-094551,Aggravated Assault
321,80-10-055988,Intimidation
322,80-10-055988,Intimidation
323,80-10-058796,Aggravated Assault
324,80-11-069866,Narcotics
325,80-11-069866,Narcotics
326,80-11-063818,Wpns Law Violation
327,80-10-071276,Aggravated Assault
328,80-10-078729,Wpns Law Violation
329,80-11-074943,Narcotics
330,80-11-074943,Narcotics
331,80-11-074943,Narcotics
332,80-10-081814,Aggravated Assault
333,80-10-081814,Aggravated Assault
334,80-10-084921,Aggravated Assault
335,80-11-025674,Narcotics
336,80-11-016235,Wpns Law Violation
337,80-10-094147,Aggravated Assault
338,80-10-094147,Aggravated Assault
339,80-11-069793,Wpns Law Violation
340,80-11-056305,Narcotics
341,80-11-056305,Narcotics
342,80-11-056305,Narcotics
343,80-11-029936,Narcotics
344,80-11-029936,Narcotics
345,80-11-029936,Narcotics
346,80-11-029936,Narcotics
347,80-11-034590,Aggravated Assault
348,80-11-072246,Narcotics
349,80-11-072246,Narcotics
350,80-10-038863,Aggravated Assault
351,80-10-039892,Wpns Law Violation
352,80-10-039921,Robbery
353,80-10-039952,Narcotics
354,80-10-039952,Narcotics
355,80-10-039952,Narcotics
356,80-10-041317,Wpns Law Violation
357,80-10-041255,Wpns Law Violation
358,80-10-030031,Wpns Law Violation
359,80-10-031067,Aggravated Assault
360,80-10-031582,Wpns Law Violation
361,80-10-032344,Aggravated Assault
362,80-10-032828,Narcotics
363,80-10-032828,Narcotics
364,80-10-033510,Wpns Law Violation
365,80-10-034094,Wpns Law Violation
366,80-10-032882,Wpns Law Violation
367,80-10-032882,Wpns Law Violation
368,80-10-050291,Wpns Law Violation
369,80-10-051689,Robbery
370,80-10-017677,Narcotics
371,80-10-017677,Narcotics
372,80-10-019773,Wpns Law Violation
373,80-10-019773,Wpns Law Violation
374,80-10-020534,Stolen Property
375,80-10-021158,Aggravated Assault
376,80-10-021158,Aggravated Assault
377,80-10-021158,Aggravated Assault
378,80-10-021158,Aggravated Assault
379,80-10-022179,Accidental Shooting
380,80-10-036001,Narcotics
381,80-10-036001,Narcotics
382,80-10-036317,Theft Other
383,80-10-036959,Narcotics
384,80-10-036959,Narcotics
385,80-10-037330,Wpns Law Violation
