dr_id,INCIDENT_NUMBER,LMPD_DIVISION
363,80-16-022514,1ST DIVISION
364,80-16-022572,METRO LOUISVILLE
365,80-16-020919,2ND DIVISION
366,80-16-021720,4TH DIVISION
367,80-16-022336,4TH DIVISION
368,80-16-022579,1ST DIVISION
369,80-16-021138,6TH DIVISION
370,80-16-022406,5TH DIVISION
371,80-16-022406,5TH DIVISION
372,80-16-022406,5TH DIVISION
373,80-16-022636,6TH DIVISION
374,80-16-022517,1ST DIVISION
375,80-16-022517,1ST DIVISION
376,80-16-022529,1ST DIVISION
377,80-16-022645,METRO LOUISVILLE
378,80-16-022657,6TH DIVISION
379,80-16-022659,METRO LOUISVILLE
380,80-16-007822,4TH DIVISION
381,80-16-008087,7TH DIVISION
382,80-16-008094,8TH DIVISION
383,80-16-008095,4TH DIVISION
384,80-16-008086,6TH DIVISION
385,80-16-007095,3RD DIVISION
386,80-16-007942,4TH DIVISION
387,80-16-007973,4TH DIVISION
388,80-16-007973,4TH DIVISION
389,80-16-004382,3RD DIVISION
390,80-16-004382,3RD DIVISION
391,80-16-008124,2ND DIVISION
392,80-16-008127,6TH DIVISION
393,80-16-007042,2ND DIVISION
394,80-16-002108,3RD DIVISION
395,80-16-001939,2ND DIVISION
396,80-16-008143,4TH DIVISION
397,80-16-007595,4TH DIVISION
398,80-16-006503,1ST DIVISION
399,80-16-006538,2ND DIVISION
400,80-16-006538,2ND DIVISION
401,80-16-006576,2ND DIVISION
402,80-16-008144,4TH DIVISION
403,80-16-006691,2ND DIVISION
404,80-16-006949,6TH DIVISION
405,80-16-008085,4TH DIVISION
406,80-16-008160,1ST DIVISION
407,80-16-008162,1ST DIVISION
408,80-16-008161,7TH DIVISION
409,80-16-008173,1ST DIVISION
410,80-16-007930,5TH DIVISION
411,80-16-007794,4TH DIVISION
412,80-16-007202,8TH DIVISION
413,80-16-007202,8TH DIVISION
414,80-16-006996,2ND DIVISION
415,80-16-007024,1ST DIVISION
416,80-16-007222,3RD DIVISION
417,80-16-008076,3RD DIVISION
418,80-16-007674,2ND DIVISION
419,80-16-007248,3RD DIVISION
420,80-16-008152,2ND DIVISION
421,80-16-008028,3RD DIVISION
422,80-16-008208,7TH DIVISION
423,80-16-008179,5TH DIVISION
424,80-16-007076,6TH DIVISION
425,80-16-008216,4TH DIVISION
426,80-16-008217,3RD DIVISION
427,80-16-008243,7TH DIVISION
428,80-16-008259,4TH DIVISION
429,80-16-007214,5TH DIVISION
430,80-16-008174,6TH DIVISION
431,80-16-006527,3RD DIVISION
432,80-16-005006,3RD DIVISION
433,80-16-008301,1ST DIVISION
434,80-16-008278,1ST DIVISION
435,80-16-008313,2ND DIVISION
436,80-16-007992,4TH DIVISION
437,80-16-008018,3RD DIVISION
438,80-16-008330,7TH DIVISION
439,80-16-008304,2ND DIVISION
440,80-16-008340,3RD DIVISION
441,80-16-008312,4TH DIVISION
442,80-16-008331,2ND DIVISION
443,80-16-008299,8TH DIVISION
444,80-16-008286,2ND DIVISION
445,80-16-008360,1ST DIVISION
446,80-16-008359,7TH DIVISION
447,80-16-008367,6TH DIVISION
448,80-16-008367,6TH DIVISION
449,80-16-008390,6TH DIVISION
450,80-16-003919,7TH DIVISION
451,80-16-003929,1ST DIVISION
452,80-16-003965,8TH DIVISION
453,80-16-003982,8TH DIVISION
454,80-16-003985,4TH DIVISION
455,80-16-004015,2ND DIVISION
456,80-16-004019,6TH DIVISION
457,80-16-002206,3RD DIVISION
458,80-16-006580,6TH DIVISION
459,80-16-008142,3RD DIVISION
460,80-16-006915,8TH DIVISION
461,80-16-006583,2ND DIVISION
462,80-16-005943,1ST DIVISION
463,80-16-005943,1ST DIVISION
464,80-16-007771,4TH DIVISION
465,80-16-005455,4TH DIVISION
466,80-16-008163,3RD DIVISION
467,80-16-008159,2ND DIVISION
468,80-16-008172,1ST DIVISION
469,80-16-008177,7TH DIVISION
470,80-16-007751,8TH DIVISION
471,80-16-007733,4TH DIVISION
472,80-16-008183,2ND DIVISION
473,80-16-007782,8TH DIVISION
474,80-16-007965,4TH DIVISION
475,80-16-007420,6TH DIVISION
476,80-16-007409,4TH DIVISION
477,80-16-007000,2ND DIVISION
478,80-16-008123,3RD DIVISION
479,80-16-008202,6TH DIVISION
480,80-16-008210,4TH DIVISION
481,80-16-008211,8TH DIVISION
482,80-16-006850,1ST DIVISION
483,80-16-006841,2ND DIVISION
484,80-16-008015,1ST DIVISION
485,80-16-011881,6TH DIVISION
486,80-16-012715,1ST DIVISION
487,80-16-012679,1ST DIVISION
488,80-16-012821,3RD DIVISION
489,80-16-012837,2ND DIVISION
490,80-16-012820,2ND DIVISION
491,80-16-012841,6TH DIVISION
492,80-16-012850,7TH DIVISION
493,80-16-012649,2ND DIVISION
494,80-16-012618,2ND DIVISION
495,80-16-012694,7TH DIVISION
496,80-16-012698,4TH DIVISION
497,80-16-012621,4TH DIVISION
498,80-16-012607,3RD DIVISION
499,80-16-012770,METRO LOUISVILLE
500,80-16-004040,3RD DIVISION
501,80-16-000894,3RD DIVISION
502,80-16-001392,4TH DIVISION
503,80-16-001413,2ND DIVISION
504,80-16-001421,8TH DIVISION
505,80-16-001441,8TH DIVISION
506,80-16-001521,1ST DIVISION
507,80-16-001838,7TH DIVISION
508,80-16-001948,4TH DIVISION
509,80-16-002059,3RD DIVISION
510,80-16-002086,1ST DIVISION
511,80-16-002093,3RD DIVISION
512,80-16-002482,8TH DIVISION
513,80-16-002505,4TH DIVISION
514,80-16-002347,2ND DIVISION
515,80-16-003156,7TH DIVISION
516,80-16-003385,7TH DIVISION
517,80-16-003578,1ST DIVISION
518,80-16-003668,3RD DIVISION
519,80-16-003667,7TH DIVISION
520,80-16-003847,2ND DIVISION
521,80-16-004060,4TH DIVISION
522,80-15-106636,7TH DIVISION
523,80-15-106664,7TH DIVISION
524,80-15-106691,7TH DIVISION
525,80-16-000830,4TH DIVISION
526,80-16-000820,7TH DIVISION
527,80-16-000821,4TH DIVISION
528,80-16-000861,1ST DIVISION
529,80-16-002675,1ST DIVISION
530,80-16-002692,4TH DIVISION
531,80-16-003101,4TH DIVISION
532,80-16-003878,6TH DIVISION
533,80-16-003379,3RD DIVISION
534,80-16-004182,8TH DIVISION
535,80-16-004202,4TH DIVISION
536,80-16-003136,5TH DIVISION
537,80-16-003411,6TH DIVISION
538,80-16-003661,2ND DIVISION
539,80-16-003460,1ST DIVISION
540,80-16-002781,7TH DIVISION
541,80-16-003882,8TH DIVISION
542,80-16-003379,3RD DIVISION
543,80-16-003850,1ST DIVISION
544,80-16-003673,1ST DIVISION
545,80-16-001824,3RD DIVISION
546,80-16-003302,6TH DIVISION
547,80-16-003909,6TH DIVISION
548,80-16-000968,1ST DIVISION
549,80-16-003370,3RD DIVISION
550,80-16-012391,3RD DIVISION
551,80-16-012773,7TH DIVISION
552,80-16-012530,3RD DIVISION
553,80-16-012530,3RD DIVISION
554,80-16-012039,4TH DIVISION
555,80-16-012403,7TH DIVISION
